Año;Mes;Total (unidades);Colcha;Cubrecama;Frazada;Funda;Juego de Sabana;Juego de Toalla;Manta;Mantel;Sabana;Toalla;;Total Tejidos (Kg);
2018;Ene;288.888;36.116;0;36;28.846;176.873;3.942;2.480;43;39.953;599;;135.183;
2018;Feb;335.838;47.174;43;0;25.763;198.800;3.243;4.558;810;31.512;23.935;;103.872;
2018;Mar;397.081;61.969;63;2.091;26.321;242.951;7.818;10.151;0;12.213;33.504;;172.962;
2018;Apr;306.392;18.897;71;0;19.303;191.282;17.509;9.034;0;18.143;32.153;;133.634;
2018;May;301.173;1.989;2.008;0;15.651;221.507;13.740;13.772;0;18.320;14.186;;122.744;
2018;Jun;304.680;4.817;1.841;8;12.261;232.622;23;9.660;2;9.376;34.070;;107.009;
2018;Jul;368.342;62;0;0;17.502;257.631;614;5.991;0;25.248;61.294;;148.812;
2018;Ago;343.150;145;290;0;27.679;263.425;9.096;0;15;23.278;19.222;;184.796;
2018;Sep;274.763;0;1.546;8;16.874;198.065;1.334;0;0;10.242;46.694;;133.679;
2018;Oct;310.663;52;652;15;23.784;129.704;5.946;760;12.567;74.392;62.791;;203.955;
2018;Nov;258.550;108;111;0;52.772;92.574;186;5.585;202;28.192;78.820;;183.350;
2018;Dic;105.068;0;0;6;18.550;50.662;900;300;334;10.414;23.902;;146.225;
2019;Ene;133.370;7.763;3;0;17.620;42.801;1.494;1.190;0;27.389;35.110;;157.492;
2019;Feb;213.945;8.885;382;0;11.647;155.488;6.758;0;2.487;217;28.081;;0;
2019;Mar;185.119;14.989;0;6;14.414;97.390;1.307;685;0;16.784;39.544;;47.876;
2019;Apr;197.315;1.102;0;0;32.583;133.081;453;0;852;5.314;23.930;;186.678;
2019;May;249.348;2.472;230;686;39.004;163.209;1.398;1;360;14.825;27.163;;222.389;
2019;Jun;223.158;0;908;0;34.574;115.429;804;0;1.853;39.597;29.993;;193.029;
2019;Jul;229.626;91;945;0;39.474;138.948;11.563;0;0;11.242;27.363;;210.809;
2019;Ago;270.673;150;1.666;0;12.458;178.336;2.511;0;115;8.488;66.949;;174.219;
2019;Sep;270.749;0;2.267;6;52.184;165.983;0;0;0;23.312;26.997;;151.255;
2019;Oct;314.997;0;2.273;0;94.983;127.424;3.633;0;0;22.345;64.339;;108.930;
2019;Nov;292.751;27.432;88;0;37.728;155.640;3.319;0;14.565;16.814;37.165;;171.823;
2019;Dic;188.507;23.355;0;10;37.843;89.940;2.772;0;851;14.171;19.565;;177.061;
2020;Ene;168.608;13.129;0;0;26.333;68.039;8.692;0;0;31.342;21.073;;170.478;
2020;Feb;276.862;21.040;975;0;31.924;143.075;4.514;2;5;46.252;29.075;;146.848;
2020;Mar;149.332;21.674;1.463;26;13.018;83.947;4.832;0;0;14.830;9.542;;93.920;
2020;Apr;0;0;0;0;0;0;0;0;0;0;0;;55.177;
2020;May;80.992;3.384;1.629;1.491;5.780;60.572;1.110;2;0;5.082;1.942;;0;
2020;Jun;163.654;7.553;1.292;2.508;13.391;110.791;5.817;4.875;0;3.667;13.760;;127.669;
2020;Jul;232.293;2.613;612;0;21.535;156.816;8.642;7.475;0;21.195;13.405;;194.529;
2020;Ago;68.020;695;64;0;6.265;50.224;0;1.638;15;861;8.258;;47.274;
2020;Sep;277.586;7.151;0;7;7.964;200.702;5.448;1.148;5.517;25.689;23.960;;180.478;
2020;Oct;258.316;8.698;0;0;19.059;186.521;5.246;2.665;0;18.559;17.568;;202.268;
2020;Nov;304.086;336;0;0;43.189;220.926;2.159;562;1.287;18.408;17.219;;229.113;
2020;Dic;165.182;33;0;270;13.172;127.354;7.086;0;500;10.263;6.504;;215.299;
2021;Ene;217.807;19.833;0;0;22.062;128.492;5.667;0;0;23.637;18.116;;221.321;
2021;Feb;292.748;29.441;505;0;29.703;170.214;5.092;0;25;38.458;19.310;;192.548;
2021;Mar;318.205;45.202;0;7.982;23.690;188.786;12.464;0;9.946;13.482;16.653;;186.030;
2021;Apr;345.101;24.103;1.071;25.649;34.972;195.886;6.092;0;21;40.594;16.713;;174.962;
