Año ;Mes;Total;Confeccionistas;Electrónicas;Plásticas;Textiles;Pesqueras;Mecánica;Otras
2011;junio;54;6;23;7;8;4;2;4
2011;julio;53;5;23;7;8;4;2;4
2011;agosto;54;6;23;7;8;4;2;4
2011;septiembre;54;6;23;7;8;4;2;4
2011;octubre;53;5;23;7;8;4;2;4
2011;noviembre;53;5;23;7;8;4;2;4
2011;diciembre;54;5;24;7;8;4;2;4
2012;enero;54;6;23;7;8;4;2;4
2012;febrero;54;6;23;7;8;4;2;4
2012;marzo;54;6;24;7;8;3;2;4
2012;abril;54;6;24;7;8;4;2;3
2012;mayo;56;6;25;9;8;3;2;3
2012;junio;57;6;26;9;8;3;2;3
2012;julio;57;6;26;9;8;3;2;3
2012;agosto;57;6;27;8;8;3;2;3
2012;septiembre;57;6;27;8;8;3;2;3
2012;octubre;57;6;27;8;8;3;2;3
2012;noviembre;56;6;27;7;8;3;2;3
2012;diciembre;56;6;27;7;8;3;2;3
2013;enero;56;6;27;7;8;3;2;3
2013;febrero;56;6;27;7;8;3;2;3
2013;marzo;56;6;27;7;8;3;2;3
2013;abril;56;6;27;7;8;3;2;3
2013;mayo;56;6;27;7;8;3;2;3
2013;junio;56;6;27;7;8;3;2;3
2013;julio;56;6;27;7;8;3;2;3
2013;agosto;56;6;27;7;8;3;2;3
2013;septiembre;55;6;27;7;7;3;2;3
2013;octubre;56;6;27;7;8;3;2;3
2013;noviembre;55;6;27;7;7;3;2;3
2013;diciembre;56;6;27;7;8;3;2;3
2014;enero;56;6;27;7;8;3;2;3
2014;febrero;56;6;27;7;8;3;2;3
2014;marzo;56;6;27;7;8;3;2;3
2014;abril;55;5;27;7;8;3;2;3
2014;mayo;56;6;27;7;8;3;2;3
2014;junio;56;6;27;7;8;3;2;3
2014;julio;56;6;27;7;8;3;2;3
2014;agosto;56;6;27;7;8;3;2;3
2014;septiembre;56;6;27;7;8;3;2;3
2014;octubre;56;6;27;7;8;3;2;3
2014;noviembre;57;6;28;7;8;3;2;3
2014;diciembre;57;6;28;7;8;3;2;3
2015;enero;57;6;28;7;8;3;2;3
2015;febrero;57;6;28;7;8;3;2;3
2015;marzo;57;6;28;7;8;3;2;3
2015;abril;57;6;28;7;8;3;2;3
2015;mayo;57;6;28;7;8;3;2;3
2015;junio;57;6;28;7;8;3;2;3
2015;julio;57;6;28;7;8;3;2;3
2015;agosto;57;6;28;7;8;3;2;3
2015;septiembre;57;6;28;7;8;3;2;3
2015;octubre;57;6;28;7;8;3;2;3
2015;noviembre;57;6;28;7;8;3;2;3
2015;diciembre;57;6;28;7;8;3;2;3
2016;enero;57;6;28;7;8;3;2;3
2016;febrero;57;6;28;7;8;3;2;3
2016;marzo;57;6;28;7;8;3;2;3
2016;abril;57;6;28;7;8;3;2;3
2016;mayo;57;6;28;7;8;3;2;3
2016;junio;57;6;28;7;8;3;2;3
2016;julio;57;6;28;7;8;3;2;3
2016;agosto;57;6;28;7;8;3;2;3
2016;septiembre;57;6;28;7;8;3;2;3
2016;octubre;57;6;28;7;8;3;2;3
