Año;Mes; Total (Kg);Compuesto de PVC (Kg);Film y bolsas de polietileno (Kg);Total (Unidades);Abrazadera Plástica;Bombas pulverizadoras y/o dispensadoras;Envases Plásticos;Preformas de PET;Tapas;Tapas plásticas
2018;Nov;8.778.516;1.369.496;7.409.020;201.616.463;0;0;49.520.153;151.513.810;2.500;580.000
2018;Dic;4.756.251;516.946;4.239.305;176.505.996;0;0;46.078.036;130.202.960;0;225.000
2019;Ene;6.653.549;1.246.332;5.407.217;171.271.800;0;0;45.344.448;125.927.352;0;0
2019;Feb;8.161.728;1.345.610;6.816.118;163.353.908;0;6.300;46.847.328;116.500.280;0;0
2019;Mar;9.577.034;1.150.242;8.426.792;152.982.970;1.500;0;53.841.610;99.010.660;76.200;53.000
2019;Apr;9.202.770;1.029.743;8.173.027;125.305.851;0;0;44.623.630;80.665.421;16.800;0
2019;May;10.259.123;1.499.014;8.760.109;170.416.300;0;0;46.487.428;123.838.872;0;90.000
2019;Jun;10.790.813;1.453.521;9.337.292;146.133.613;0;0;45.616.160;100.145.453;30.000;342.000
2019;Jul;10.525.011;1.579.051;8.945.960;187.932.150;0;0;53.356.182;133.580.168;70.800;925.000
2019;Ago;10.142.377;1.379.489;8.762.888;226.455.056;0;19.170;60.625.406;165.605.880;9.600;195.000
2019;Sep;10.640.743;1.606.605;9.034.138;184.680.252;3.000;12.756;35.739.216;148.637.924;0;287.356
2019;Oct;11.502.118;2.096.212;9.405.906;212.818.064;0;0;55.204.936;157.166.728;86.400;360.000
2019;Nov;10.979.461;2.085.177;8.894.284;183.982.736;0;0;44.684.438;138.958.298;0;340.000
2019;Dic;6.903.002;718.080;6.184.922;174.209.327;0;0;56.208.608;117.810.719;0;190.000
2020;Ene;9.536.177;1.149.059;8.387.118;185.186.985;0;0;62.468.768;122.718.217;0;0
2020;Feb;10.300.779;1.619.492;8.681.287;207.836.484;0;0;53.705.148;154.131.336;0;0
2020;Mar;10.764.049;944.452;9.819.597;172.394.668;3.000;1.400;55.514.963;116.774.505;5.000;95.800
2020;Apr;10.061.129;0;10.061.129;167.778.928;0;0;59.867.139;107.526.089;127.700;258.000
2020;May;10.971.348;681.885;10.289.463;182.529.134;0;0;59.386.126;123.008.008;0;135.000
2020;Jun;11.446.278;1.523.790;9.922.488;149.614.980;0;0;54.222.890;95.197.590;0;194.500
2020;Jul;11.148.417;1.995.923;9.152.494;154.367.462;0;0;51.740.530;102.226.932;90.000;310.000
2020;Ago;11.399.229;2.142.990;9.256.239;164.108.508;0;0;45.017.064;118.891.444;0;200.000
2020;Sep;10.401.474;2.019.599;8.381.875;189.871.525;3.000;1.400;51.560.955;138.021.070;16.800;268.300
2020;Oct;10.409.432;1.539.890;8.869.542;209.697.359;0;0;60.384.954;149.218.405;0;94.000
2020;Nov;10.819.058;1.793.719;9.025.339;210.203.991;0;0;64.749.452;145.214.539;0;240.000
2020;Dic;9.153.274;1.466.597;7.686.677;201.073.613;0;0;66.768.696;134.286.917;0;18.000
2021;Ene;11.149.083;1.713.752;9.435.331;213.087.298;0;0;64.424.088;148.663.210;0;0
2021;Feb;11.424.490;1.636.634;9.787.856;217.761.609;0;1.400;56.419.416;161.065.793;200;274.800
2021;Mar;11.490.445;1.797.208;9.693.237;202.001.943;3.000;0;65.845.902;135.499.266;26.400;627.375
2021;Apr;10.271.221;1.727.232;8.543.989;191.813.214;0;5.070;66.220.846;125.311.298;66.000;210.000
2021;May;11.883.922;1.901.839;9.982.083;192.579.236;0;0;58.199.010;134.157.726;0;222.500
2021;Jun;11.546.457;1.302.445;10.244.012;173.664.013;0;0;47.024.776;126.230.237;0;409.000
2021;Jul;12.409.590;1.601.068;10.808.522;204.291.962;0;0;62.794.082;141.243.380;0;254.500
2021;Ago;11.640.608;1.928.421;9.712.187;212.031.915;0;0;62.511.215;149.156.200;0;364.500
2021;Sep;12.870.098;2.227.758;10.642.340;232.833.665;3.000;1.300;66.218.710;166.146.655;200;463.800
2021;Oct;13.532.156;2.133.618;11.398.538;217.087.303;0;0;67.863.425;148.473.778;21.000;729.100
2021;Nov;12.636.298;2.396.484;10.239.814;223.905.129;0;0;60.886.585;162.368.544;40.000;610.000
2021;Dic;9.802.400;1.481.336;8.321.064;244.185.651;0;0;63.839.848;179.886.803;84.000;375.000
2022;Ene ;9.629.670;1.421.568;8.208.102;235.632.652;0;0;58.688.976;176.943.676;0;0
