Año;Mes; Total (unidades);Acondicionador de Aire;Afeitadora Eléctrica;Aspiradora;Autorradio;Cámara Fotográfica Digital;Computadora Portátil;Decodificador de Video;Depiladora Eléctrica;Equipo de Radiocomunicaciones Móviles Celulares;Horno/Cocina a Microondas;Lavarropas;Módem;Módulo Electrónico para Automotor;Monitor;Reproductor de Video;Sistema de Audio;Tablet PC;Televisor;Unidades Evaporadoras Condensadoras;Videocámara
2016;Oct;1.246.910;152.114;13.164;440;18.786;0;37.584;43.330;3.252;559.456;47.998;2.909;0;15.476;44.570;8.592;5.430;0;293.809;0;0
2016;Nov;1.458.018;163.168;9.852;0;18.189;0;31.232;82.706;6.360;707.865;33.043;2.926;0;19.482;51.658;15.840;4.857;0;310.436;404;0
2016;Dic;653.754;72.459;7.200;0;18.910;0;4.130;42.886;5.760;309.712;25.326;2.449;0;21.814;17.194;9.714;3.217;0;112.978;5;0
2017;Ene;471.312;10.724;4.320;0;10.339;0;0;7.376;2.640;308.850;9.620;0;0;11.926;5.173;3.744;1.359;0;95.129;112;0
2017;Feb;1.124.886;28.318;12.816;1.022;17.809;0;4;20.946;5.286;747.301;32.121;1.351;0;11.499;8.151;7.920;4.920;0;222.663;2.759;0
2017;Mar;1.432.996;61.761;25.542;2.790;23.811;0;10;44.960;1.980;923.822;34.304;2.634;0;20.731;5.911;13.248;3.729;1;267.213;549;0
2017;Apr;1.276.167;53.804;17.280;0;15.280;1.261;1;61.610;9.450;809.848;29.609;1.964;0;14.985;9.838;13.536;3.185;0;234.505;11;0
2017;May;1.507.805;73.728;20.160;0;19.475;2.758;0;55.717;7.304;949.481;30.134;2.041;0;12.266;18.801;17.280;2.973;0;295.675;12;0
2017;Jun;1.402.816;71.683;16.680;0;23.601;258;0;58.470;11.952;855.725;39.154;2.503;0;17.054;11.850;9.504;4.176;0;280.194;12;0
2017;Jul;1.497.207;89.796;1.720;0;24.358;0;0;44.880;24.600;964.638;34.990;687;0;13.324;12.541;8.496;4.722;0;272.453;2;0
2017;Ago;1.842.333;136.665;3.132;0;22.806;0;0;52.200;30.024;1.235.894;35.277;2.320;0;16.601;4.463;7.056;5.356;0;290.538;1;0
2017;Sep;1.619.919;136.935;7.782;0;19.748;0;0;46.800;12.240;1.021.365;42.274;4.509;0;15.230;4.866;4.320;5.923;0;297.927;0;0
2017;Oct;1.714.437;158.211;11.046;0;18.798;0;0;32.849;16.434;1.028.217;35.397;4.019;0;12.532;9.468;4.320;6.572;0;376.574;0;0
2017;Nov;1.784.303;155.517;11.040;0;21.419;0;0;451;18.000;1.109.766;35.877;4.662;0;16.280;18.207;8.358;6.320;0;378.406;0;0
2017;Dic;1.146.795;106.955;8.640;0;9.866;0;0;905;10.580;687.618;22.588;2.855;0;14.660;12.528;2.304;6.230;0;261.066;0;0
2018;Ene;843.983;33.369;6.858;0;9.098;0;0;450;480;552.999;12.878;0;0;3.320;0;576;2.619;0;221.336;0;0
2018;Feb;1.451.177;49.411;18.582;0;13.627;0;0;0;3.060;919.452;22.911;1.890;0;6.608;6.546;1.872;5.829;0;401.389;0;0
2018;Mar;1.722.452;82.848;15.228;0;17.035;0;0;0;12.240;1.036.564;17.373;3.674;0;18.176;1.562;1.152;6.712;0;509.888;0;0
2018;Apr;1.508.069;78.414;18.450;0;13.113;0;0;2.208;12.120;795.190;19.523;4.042;0;11.698;0;162;4.652;0;548.497;0;0
2018;May;1.560.488;85.394;10.085;0;11.829;0;0;0;22.343;846.421;22.285;4.205;0;9.799;0;0;7.738;0;540.389;0;0
2018;Jun;1.016.559;82.379;5.772;0;10.108;0;0;0;21.004;565.294;34.808;3.314;0;10.514;0;0;6.397;0;276.969;0;0
