Evolución mensual de la producción de los principales productos pesqueros en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Total (1); Principales productos de la Industria Pesquera;;;;;;;;;;;;;;;;;;;;
;;; Callos de vieiras congelados individualmente;Harina;Moluscos y crustáceos;Pescado Congelado;Surimi;;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Jul;1.107.875;-;122.010;-;351.845;634.020;;;;;;;;;;;;;;;;
;Ago;1.318.634;61.605;128.490;-;465.239;663.300;;;;;;;;;;;;;;;;
;Sep;1.533.436;-;178.980;-;378.256;976.200;;;;;;;;;;;;;;;;
;Oct;1.367.134;195.350;90.330;-;754.334;327.120;;;;;;;;;;;;;;;;
;Nov;2.004.289;-;158.460;-;738.089;1.107.740;;;;;;;;;;;;;;;;
;Dic;1.204.108;170.595;98.490;-;494.403;440.620;;;;;;;;;;;;;;;;
2019;Ene;2.168.772;200.000;158.100;227.796;738.636;844.240;;;;;;;;;;;;;;;;
;Feb;1.806.644;-;156.270;-;761.534;888.840;;;;;;;;;;;;;;;;
;Mar;1.700.333;-;42.580;146;745.325;912.282;;;;;;;;;;;;;;;;
;Apr;1.752.975;161.910;151.200;100;726.305;713.460;;;;;;;;;;;;;;;;
;May;1.671.495;-;168.840;-;883.315;619.340;;;;;;;;;;;;;;;;
;Jun;1.101.290;244.515;-;-;322.073;534.702;;;;;;;;;;;;;;;;
;Jul;1.200.154;-;124.800;-;381.814;693.540;;;;;;;;;;;;;;;;
;Ago;717.461;155.955;75.630;-;3.456;482.420;;;;;;;;;;;;;;;;
;Sep;153.983;138.195;2.100;-;2.088;11.600;;;;;;;;;;;;;;;;
;Oct;1.462.599;-;165.810;264;228.366;1.068.159;;;;;;;;;;;;;;;;
;Nov;1.421.721;-;93.750;-;741.811;586.160;;;;;;;;;;;;;;;;
;Dic;1.316.945;234.345;105.300;4.196;334.224;638.880;;;;;;;;;;;;;;;;
2020;Ene;1.471.039;-;159.720;75.957;340.262;895.100;;;;;;;;;;;;;;;;
;Feb;1.663.602;241.095;97.530;15.156;715.041;594.780;;;;;;;;;;;;;;;;
;Mar;1.206.789;-;92.370;38.284;526.075;550.060;;;;;;;;;;;;;;;;
;Apr;1.284.353;247.215;106.110;-;362.008;569.020;;;;;;;;;;;;;;;;
;May;1.600.866;175.065;115.110;-;701.091;609.600;;;;;;;;;;;;;;;;
;Jun;1.007.177;-;106.380;-;391.557;509.240;;;;;;;;;;;;;;;;
;Jul;1.327.465;245.205;80.910;-;487.249;514.100;;;;;;;;;;;;;;;;
;Ago;1.441.705;176.025;141.120;-;317.940;806.620;;;;;;;;;;;;;;;;
;Sep;1.192.348;-;74.760;-;558.582;559.006;;;;;;;;;;;;;;;;
;Oct;1.728.487;-;130.560;-;631.947;965.980;;;;;;;;;;;;;;;;
;Nov;981.841;-;47.100;241;611.840;322.660;;;;;;;;;;;;;;;;
;Dic;1.533.052;241.320;59.490;-;819.042;413.200;;;;;;;;;;;;;;;;
2021;Ene;1.578.254;-;120.900;-;667.514;789.840;;;;;;;;;;;;;;;;
;Feb;1.728.475;200.205;87.390;324.610;396.290;719.980;;;;;;;;;;;;;;;;
;Mar;1.198.420;-;80.280;234.026;375.694;508.420;;;;;;;;;;;;;;;;
;Apr;2.255.977;223.320;134.040;252.510;641.507;1.004.600;;;;;;;;;;;;;;;;
;May;1.544.604;102.225;93.510;9.370;754.839;584.660;;;;;;;;;;;;;;;;
;Jun;446.124;-;450;5.480;438.614;1.580;;;;;;;;;;;;;;;;
;Jul;255.910;250.080;-;-;5.830;-;;;;;;;;;;;;;;;;
;Ago;261.748;-;-;-;261.748;-;;;;;;;;;;;;;;;;
;Sep;708.315;242.130;-;-;466.185;-;;;;;;;;;;;;;;;;
;Oct;1.454.763;-;156.810;-;230.533;1.067.420;;;;;;;;;;;;;;;;
;Nov;1.807.531;228.210;136.470;-;601.151;841.700;;;;;;;;;;;;;;;;
;Dic;1.470.966;-;119.850;1.157;710.611;639.348;;;;;;;;;;;;;;;;
2022;Ene ;2.085.364;238.950;101.370;-;960.916;784.128;;;;;;;;;;;;;;;;
;Feb ;865.154;-;49.110;-;475.424;340.620;;;;;;;;;;;;;;;;
;Mar ;1.778.520;244.130;114.870;78;697.882;721.560;;;;;;;;;;;;;;;;
;Apr ;1.234.831;240.795;50.370;3.225;602.701;337.740;;;;;;;;;;;;;;;;
;May ;1.547.812;246.375;111.540;-;617.237;572.660;;;;;;;;;;;;;;;;
;Jun ;765.805;-;87.390;-;379.655;298.760;;;;;;;;;;;;;;;;
;Jul ;930.505;231.255;101.610;-;102.060;495.580;;;;;;;;;;;;;;;;
;Ago ;329.514;155.280;-;-;17.500;156.734;;;;;;;;;;;;;;;;
;Sep ;190.618;-;-;2.106;188.512;-;;;;;;;;;;;;;;;;
;Oct ;192.234;130.665;-;168;61.401;-;;;;;;;;;;;;;;;;
;Nov ;278.634;249.915;-;-;28.719;-;;;;;;;;;;;;;;;;
;Dic ;-;-;-;-;-;-;;;;;;;;;;;;;;;;
2023;Ene ;455.631;246.015;-;-;209.616;-;;;;;;;;;;;;;;;;
;Feb ;820.804;232.020;-;384.904;203.880;-;;;;;;;;;;;;;;;;
;Mar ;111.496;-;-;21.303;90.193;-;;;;;;;;;;;;;;;;
;Apr ;772.639;188.145;-;-;584.494;-;;;;;;;;;;;;;;;;
;May ;629.728;245.475;-;74;384.179;-;;;;;;;;;;;;;;;;
;Jun ;503.241;247.995;-;-;255.246;-;;;;;;;;;;;;;;;;
;Jul ;426.511;252.500;-;-;174.011;-;;;;;;;;;;;;;;;;
;Ago ;-;-;-;-;-;-;;;;;;;;;;;;;;;;
;Sep;13.803;-;-;-;13.803;-;;;;;;;;;;;;;;;;
;Oct;390.136;-;-;-;390.136;-;;;;;;;;;;;;;;;;
;Nov;335.344;-;-;-;335.344;-;;;;;;;;;;;;;;;;
;Dic;179.065;-;-;-;179.065;-;;;;;;;;;;;;;;;;
2024;Ene*;368.277;195.645;-;-;172.632;-;;;;;;;;;;;;;;;;
;Feb*;858.039;252.135;-;544.986;60.918;-;;;;;;;;;;;;;;;;
;Mar*;782.770;236.190;-;498.245;48.335;-;;;;;;;;;;;;;;;;
;Abr*;184.588;-;-;-;184.588;-;;;;;;;;;;;;;;;;
;May*;379.493;230.595;-;53;148.845;-;;;;;;;;;;;;;;;;
;Jun*;434.017;230.595;-;-;203.422;-;;;;;;;;;;;;;;;;
;Jul*;-;-;-;-;-;-;;;;;;;;;;;;;;;;
;Ago*;252.885;252.885;-;-;-;-;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"(1) El total incluye otros productos que no están discriminados en el cuadro.
";;;;;;;;;;;;;;;;;;;;;;;
- Dato igual a cero absoluto;;;;;;;;;;;;;;;;;;;;;;;
* Dato provisorio;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Provincial de Análisis e Investigación, Estadística y Censos sobre la base de datos de Subsecretaría de Industria del Ministerio de Producción y Ambiente de la Provincia de TDF, AeIAS. ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
