Evolución mensual de la producción de los principales productos textiles en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Principales productos de la IndustriaTextil;;;;;;;;;;;;;;;;;;;;;;;;
;; Total; Floca; Hilado; Tejido;Tela Recubierta;Top;;Total;Tejido;Tela Recubierta;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;metro lineal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jul;2.672.114;3.886;381.838;1.730.798;5;555.587;;1.436.625;1.058.391;378.234;;;;;;;;;;;;;;;
;Ago;2.579.214;8.300;298.649;1.856.227;5;416.033;;768.462;238.632;529.830;;;;;;;;;;;;;;;
;Sep;2.330.475;23.549;237.218;1.831.984;24.824;212.900;;479.400;180.808;298.592;;;;;;;;;;;;;;;
;Oct;2.343.326;6.684;292.243;1.554.636;-;489.764;;975.047;808.015;167.032;;;;;;;;;;;;;;;
;Nov;2.398.956;7.569;387.648;1.406.021;-;597.718;;1.309.227;761.552;547.675;;;;;;;;;;;;;;;
;Dic;1.662.619;2.849;292.940;980.331;31.292;355.207;;662.796;381.961;280.834;;;;;;;;;;;;;;;
2015;Ene;1.753.597;20.378;199.390;1.173.303;32.511;328.015;;1.438.088;1.253.902;184.186;;;;;;;;;;;;;;;
;Feb;2.502.238;31.215;369.092;1.557.474;11.681;532.776;;1.206.453;874.259;332.194;;;;;;;;;;;;;;;
;Mar;2.881.814;6.822;438.838;1.822.062;11.253;602.840;;1.286.967;765.095;521.872;;;;;;;;;;;;;;;
;Apr;2.485.116;4.696;466.393;1.527.042;50;486.935;;1.220.629;849.747;370.882;;;;;;;;;;;;;;;
;May;2.449.465;26.222;444.559;1.486.416;22.825;469.444;;1.325.330;929.615;395.715;;;;;;;;;;;;;;;
;Jun;2.168.984;3.762;387.123;1.332.616;24.677;420.806;;845.726;545.782;299.944;;;;;;;;;;;;;;;
;Jul;2.550.138;2.427;448.755;1.687.223;5;411.728;;1.252.680;813.585;439.095;;;;;;;;;;;;;;;
;Ago;2.711.991;3.270;441.210;1.901.298;10;366.203;;2.172.933;1.693.303;479.630;;;;;;;;;;;;;;;
;Sep;3.063.759;47.896;423.800;2.103.910;-;488.153;;2.553.431;2.296.614;256.817;;;;;;;;;;;;;;;
;Oct;3.445.725;36.751;475.482;2.514.657;-;418.835;;2.522.617;2.146.737;375.880;;;;;;;;;;;;;;;
;Nov;3.436.191;4.730;439.258;2.408.486;22.946;560.772;;2.171.152;1.847.768;323.384;;;;;;;;;;;;;;;
;Dic;2.640.509;5.886;271.123;1.974.891;-;388.609;;1.659.040;1.332.473;326.566;;;;;;;;;;;;;;;
2016;Ene;1.649.512;-;179.674;1.364.593;-;105.246;;927.382;525.296;402.086;;;;;;;;;;;;;;;
;Feb;2.700.294;33.853;407.371;1.790.672;24.664;443.734;;1.099.486;747.678;351.809;;;;;;;;;;;;;;;
;Mar;3.249.374;2.862;440.413;2.284.617;22.909;498.573;;1.323.151;590.292;732.858;;;;;;;;;;;;;;;
;Apr;3.109.397;6.241;438.886;2.132.058;38.297;493.916;;2.417.615;1.939.425;478.190;;;;;;;;;;;;;;;
;May;3.121.007;29.243;430.171;2.142.401;9.355;509.837;;1.360.674;966.989;393.685;;;;;;;;;;;;;;;
;Jun;2.798.118;26.600;369.816;1.976.738;-;424.964;;960.859;504.753;456.106;;;;;;;;;;;;;;;
;Jul;2.827.302;5.461;348.537;2.005.754;24.787;442.764;;647.496;228.841;418.655;;;;;;;;;;;;;;;
;Ago;3.004.649;6.736;418.643;2.038.256;25.380;515.634;;1.228.293;451.934;776.359;;;;;;;;;;;;;;;
;Sep;2.866.470;9.985;441.114;1.905.249;25.385;484.738;;1.693.972;1.011.870;682.102;;;;;;;;;;;;;;;
;Oct;2.752.536;24.531;432.192;1.800.635;-;495.179;;765.596;582.544;183.052;;;;;;;;;;;;;;;
;Nov;3.168.790;5.822;495.032;2.043.733;24.842;599.361;;1.213.304;477.455;735.849;;;;;;;;;;;;;;;
